43.133.237.158:8443#KR [66.84ms 1.21Mbps]
43.164.191.65:8443#KR [74.58ms 5.71Mbps]
43.165.178.147:8443#JP [82.48ms 1.5Mbps]
43.155.221.27:8443#KR [86.16ms 7.69Mbps]
47.245.62.50:443#JP [87.44ms 0.12Mbps]
54.248.55.203:443#JP [88.6ms 0.37Mbps]
68.183.230.164:443#SG [89.1ms 0.55Mbps]
43.163.238.201:8443#JP [89.3ms 0.0Mbps]
68.183.182.205:443#SG [94.25ms 0.48Mbps]
45.129.8.76:443#JP [95.16ms 6.42Mbps]
85.121.51.114:8443#HK [96.16ms 3.63Mbps]
2.27.109.236:443#HK [97.51ms 0.57Mbps]
45.120.159.237:8443#JP [98.7ms 0.31Mbps]
68.183.231.228:443#SG [98.97ms 0.2Mbps]
109.107.140.90:443#JP [100.2ms 0.37Mbps]
160.16.59.9:443#JP [100.3ms 0.0Mbps]
45.92.158.56:443#SG [100.51ms 4.03Mbps]
174.138.17.183:443#SG [101.52ms 0.42Mbps]
165.22.102.89:443#SG [101.6ms 0.65Mbps]
165.232.165.200:443#SG [104.92ms 0.21Mbps]
45.142.166.248:443#JP [105.34ms 7.26Mbps]
165.232.175.180:443#SG [105.59ms 0.42Mbps]
8.219.195.31:443#JP [106.61ms 3.47Mbps]
61.245.11.45:443#PH [107.2ms 0.38Mbps]
143.198.213.81:443#SG [108.6ms 0.37Mbps]
174.138.26.166:8443#SG [110.16ms 0.37Mbps]
45.154.24.235:443#TH [123.98ms 0.27Mbps]
45.150.128.159:443#TH [130.64ms 4.22Mbps]
43.133.110.81:443#TH [130.67ms 0.21Mbps]
64.227.174.213:8443#IN [132.13ms 0.27Mbps]
64.227.174.213:2053#IN [136.98ms 0.22Mbps]
165.101.65.72:443#TH [142.01ms 0.21Mbps]
45.89.105.211:443#IN [148.69ms 0.38Mbps]
65.20.85.14:443#IN [156.23ms 2.67Mbps]
47.250.124.22:443#MY [163.53ms 0.18Mbps]
89.106.207.108:443#NL [优选高速 167.28ms 9.39Mbps]
64.186.254.109:8443#US [175.52ms 1.98Mbps]
64.118.159.219:443#DE [优选高速 176.09ms 10.76Mbps]
4.240.110.47:443#IN [178.62ms 0.24Mbps]
45.147.48.147:443#DE [优选高速 183.44ms 9.11Mbps]
122.10.119.252:443#HK [183.74ms 0.44Mbps]
38.95.78.179:443#US [优选高速 184.62ms 9.61Mbps]
46.229.253.73:8443#DE [191.97ms 0.29Mbps]
57.129.63.123:2053#DE [194.59ms 0.32Mbps]
93.177.64.127:443#DE [196.06ms 0.14Mbps]
57.129.47.4:8443#DE [197.09ms 0.16Mbps]
72.56.110.17:443#NL [197.65ms 3.61Mbps]
51.91.101.216:8443#FR [197.92ms 0.19Mbps]
57.129.63.42:2053#DE [198.12ms 0.26Mbps]
91.199.160.46:443#CZ [199.12ms 0.3Mbps]
46.19.69.109:443#NL [199.23ms 0.15Mbps]
57.129.47.32:2053#DE [200.53ms 0.24Mbps]
47.250.212.59:443#MY [200.69ms 0.23Mbps]
87.199.193.126:8443#NL [201.02ms 0.16Mbps]
178.22.26.54:443#DE [优选高速 201.47ms 10.62Mbps]
51.195.45.232:443#DE [201.49ms 2.15Mbps]
89.117.49.238:2053#FR [202.42ms 1.47Mbps]
72.56.98.177:443#NL [202.47ms 2.12Mbps]
89.19.217.248:443#NL [202.84ms 0.45Mbps]
89.124.104.165:8443#NL [202.85ms 3.95Mbps]
87.236.146.43:443#CZ [203.42ms 0.13Mbps]
38.97.249.166:8443#US [203.95ms 0.08Mbps]
88.218.171.117:443#NL [204.07ms 0.18Mbps]
72.56.28.2:443#NL [204.23ms 0.45Mbps]
45.143.129.87:2053#US [优选高速 204.26ms 8.0Mbps]
72.56.28.218:443#NL [204.28ms 0.0Mbps]
92.61.71.112:443#CZ [205.45ms 0.13Mbps]
38.55.108.59:8443#US [207.87ms 0.0Mbps]
45.138.158.191:443#UZ [208.6ms 0.3Mbps]
64.23.170.130:443#US [209.96ms 0.08Mbps]
91.199.160.8:443#CZ [210.6ms 0.32Mbps]
82.29.71.158:443#US [212.24ms 0.47Mbps]
45.136.198.114:8443#BG [213.09ms 3.5Mbps]
45.203.220.181:8443#US [213.47ms 1.22Mbps]
89.167.109.28:443#FI [214.42ms 0.22Mbps]
51.91.109.49:443#FR [214.74ms 0.1Mbps]
89.22.230.153:8443#GB [215.15ms 2.0Mbps]
88.80.186.197:443#GB [215.34ms 0.0Mbps]
64.23.238.7:443#US [216.12ms 0.08Mbps]
95.182.98.140:2053#FR [216.23ms 4.14Mbps]
83.243.86.138:443#FR [216.44ms 2.13Mbps]
95.182.116.192:2053#FR [217.13ms 3.64Mbps]
83.228.193.188:8443#CH [217.34ms 0.29Mbps]
142.248.219.86:2053#US [217.35ms 0.0Mbps]
77.42.82.1:443#FI [218.41ms 0.22Mbps]
188.208.110.30:443#AE [219.11ms 0.59Mbps]
